,lat,long,total_bikes
0,43.685569,-79.408019,19
0,43.651678,-79.375233,17
0,43.651838,-79.378743,17
0,43.645653,-79.464366,22
0,43.665221,-79.394009,23
0,43.688148,-79.362101,15
0,43.669232,-79.374495,23
0,43.640075,-79.414156,31
0,43.678285,-79.347346,15
0,43.697139,-79.31469,15
0,43.694826,-79.295208,19
0,43.673118,-79.318651,19
0,43.689293,-79.295895,23
0,43.66908,-79.3149,19
0,43.66073,-79.47149,20
0,43.63121,-79.41414,26
0,43.66189,-79.42679,15
0,43.65389,-79.4675,19
0,43.676697,-79.445029,16
0,43.68114,-79.4277,11
0,43.663148,-79.347938,16
0,43.669813,-79.3335,23
0,43.633537,-79.437461,27
0,43.663162,-79.309765,27
0,43.63632,-79.47307,23
0,43.697819,-79.38786,23
0,43.638426,-79.429142,16
0,43.65988,-79.38279,25
0,43.667023,-79.401805,27
0,43.66842,-79.410585,19
0,43.66402,-79.46418,15
0,43.66686,-79.46526,23
0,43.671278,-79.372127,19
0,43.635023,-79.399505,22
0,43.66834,-79.38235,19
0,43.65263,-79.38766,23
0,43.65158,-79.38655,23
0,43.70547,-79.40355,19
0,43.641675,-79.354006,23
0,43.694341,-79.291416,23
0,43.64422,-79.36927,18
