,lat,long,total_bikes,restaurant_name,distance,rating,location
243,43.66986,-79.398443,15.0,Pai,5122,9.2,18 Duncan St
244,43.659471,-79.350325,12.0,The Library Specialty Coffee,4775,8.9,281 Dundas St W
245,43.650492,-79.450842,19.0,HotBlack Coffee,5042,9.0,245 Queen St W
246,43.640255,-79.439223,16.0,The Keg Steakhouse + Bar,5409,8.8,165 York St
247,43.637922,-79.431734,16.0,Pennies,3608,8.3,127 Strachan Ave
248,43.643769,-79.447915,18.0,Cafe Landwer,5344,8.7,165 University Ave
249,43.649172,-79.4445087,16.0,The Keg Steakhouse & Bar,5757,8.9,515 Jarvis St
250,43.663912,-79.416124,20.0,House on Parliament,695,8.9,454 Parliament St
251,43.6458569,-79.3853654,27.0,Neo Coffee Bar,879,9.0,161 Frederick St
252,43.66587,-79.33443,16.0,The Keg Steakhouse & Bar,1055,8.9,515 Jarvis St
253,43.658816,-79.367318,19.0,Pai,1741,9.2,18 Duncan St
254,43.654004,-79.444792,20.0,HotBlack Coffee,1580,9.0,245 Queen St W
255,43.6397,-79.44865,19.0,Sukho Thai,1104,8.7,52 Wellington St E
